Assets and Liabilities of FDIC-Insured Commercial Banks and Savings Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Amounts in $ Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
Number of institutions reporting,"17,885","17,889","17,898","17,901","17,921","17,936","18,008","18,033","18,083","18,017","18,000","17,876","17,741","17,605","17,504","17,325","17,142","16,993","16,758","16,561","16,258","16,142","15,971","15,797","15,587","15,436","15,279","15,159","15,000","14,839","14,680","14,483","14,335","14,177","14,035","13,854","13,684","13,515","13,380","13,222","13,081","12,935","12,776","12,605","12,362","12,253","12,114","11,972","11,845","11,672","11,550","11,454","11,338","11,161","11,028","10,923","10,780","10,713","10,624","10,464","10,391","10,328","10,271","10,222","10,152","10,102","9,988","9,904","9,822","9,747","9,701","9,613","9,520","9,466","9,415","9,354","9,312","9,268","9,236","9,181","9,116","9,078","9,024","8,976","8,931","8,868","8,858","8,833","8,790","8,777","8,743","8,680","8,649","8,615","8,559","8,534","8,494","8,451","8,383","8,304","8,247","8,195","8,099","8,012","7,934","7,830","7,761","7,658","7,574","7,513","7,437","7,357","7,308","7,245","7,181","7,083","7,019","6,940","6,891","6,812","6,730","6,656","6,589","6,509","6,419","6,348","6,270","6,182","6,122","6,058","5,980","5,913","5,856","5,787","5,738","5,670","5,606","5,542","5,477","5,406","5,362","5,303","5,258","5,177","5,116","5,066","5,033","5,002","4,978","4,950","4,914","4,839","4,796","4,771","4,746","4,706","4,672","4,645","4,614","4,587","4,568","4,539"
Total employees (full-time equivalent),"1,507,883","1,570,636","1,517,173","1,573,287","1,578,838","1,599,543","1,604,824","1,617,332","1,622,779","1,643,642","1,631,234","1,627,520","1,622,939","1,682,117","1,628,315","1,618,488","1,605,263","1,612,664","1,601,527","1,602,907","1,600,115","1,616,104","1,600,611","1,605,720","1,901,759","1,904,728","1,876,085","1,863,554","1,833,216","1,823,223","1,801,400","1,792,478","1,784,201","1,782,582","1,768,143","1,774,201","1,754,358","1,761,473","1,763,967","1,780,598","1,774,161","1,775,896","1,755,019","1,751,220","1,732,499","1,733,352","1,734,149","1,735,446","1,722,712","1,741,516","1,735,810","1,743,507","1,748,360","1,762,979","1,770,294","1,784,482","1,802,023","1,842,567","1,843,713","1,863,910","1,860,276","1,864,605","1,878,658","1,901,596","1,893,838","1,904,616","1,900,036","1,914,517","1,933,464","1,954,156","1,933,277","1,966,693","1,993,779","2,009,898","2,003,419","2,017,651","2,029,771","2,047,086","2,042,228","2,046,006","2,116,955","2,100,293","2,092,598","2,096,975","2,104,618","2,130,266","2,137,988","2,150,485","2,172,809","2,198,487","2,196,254","2,206,655","2,223,383","2,220,911","2,220,522","2,215,029","2,212,503","2,203,854","2,170,931","2,151,758","2,114,901","2,093,066","2,069,470","2,062,950","2,027,245","2,034,283","2,044,137","2,088,579","2,094,710","2,106,615","2,109,352","2,108,598","2,102,280","2,108,194","2,105,843","2,110,276","2,102,820","2,097,284","2,080,363","2,068,719","2,058,884","2,059,827","2,048,640","2,047,945","2,042,686","2,042,405","2,038,490","2,033,727","2,039,953","2,045,259","2,043,457","2,052,978","2,081,563","2,093,283","2,084,080","2,076,128","2,076,857","2,077,005","2,070,600","2,067,089","2,065,595","2,069,196","2,065,840","2,063,268","2,069,356","2,077,846","2,071,908","2,065,603","2,067,219","2,058,710","2,056,576","2,069,043","2,088,158","2,100,337","2,115,041","2,125,175","2,129,289","2,115,568","2,098,499","2,078,686","2,074,042","2,056,867"
Total Assets,"3,373,920","3,479,612","3,520,867","3,653,117","3,666,443","3,758,082","3,853,632","3,993,326","4,022,334","4,106,580","4,158,122","4,327,565","4,301,277","4,353,713","4,407,108","4,502,060","4,540,892","4,611,832","4,692,092","4,758,966","4,698,928","4,740,289","4,718,377","4,736,409","4,670,805","4,686,705","4,691,535","4,656,548","4,568,364","4,545,210","4,573,604","4,550,192","4,541,414","4,522,169","4,535,690","4,541,325","4,528,140","4,577,983","4,641,711","4,711,354","4,843,916","4,895,162","4,932,364","5,022,361","5,132,798","5,190,621","5,256,475","5,340,963","5,327,522","5,422,841","5,496,864","5,611,184","5,667,302","5,803,461","5,894,612","6,044,718","6,152,712","6,229,499","6,327,525","6,531,025","6,521,925","6,594,815","6,655,739","6,883,659","7,004,568","7,163,614","7,269,388","7,462,898","7,572,689","7,635,924","7,844,176","7,867,077","7,822,742","8,039,007","8,272,830","8,435,858","8,605,069","8,923,262","8,943,134","9,075,653","9,377,239","9,648,545","9,877,215","10,107,379","10,286,410","10,474,368","10,700,704","10,879,267","11,209,760","11,526,114","11,754,158","11,861,855","11,982,320","12,261,392","12,706,150","13,033,934","13,369,322","13,300,430","13,545,965","13,817,671","13,526,158","13,279,679","13,226,017","13,086,778","13,336,004","13,199,507","13,372,708","13,318,923","13,414,247","13,601,987","13,811,890","13,891,345","13,925,411","14,030,843","14,222,855","14,450,404","14,423,792","14,409,751","14,603,604","14,730,791","14,909,899","15,171,911","15,348,740","15,553,728","15,777,972","15,753,631","15,800,092","15,967,662","16,293,276","16,533,969","16,766,622","16,779,681","16,965,581","17,069,494","17,242,501","17,415,410","17,530,252","17,532,878","17,672,832","17,942,992","18,089,968","18,265,870","18,481,915","18,645,728","20,255,188","21,139,331","21,209,356","21,868,754","22,546,904","22,774,411","23,251,915","23,719,752","23,973,189","23,717,492","23,627,037","23,595,378","23,715,060","23,460,851","23,408,291","23,666,440","23,957,637","23,887,133"
  Loans secured by real estate,"1,000,767","1,045,965","1,081,007","1,106,192","1,126,151","1,158,344","1,194,533","1,223,699","1,241,353","1,266,621","1,287,224","1,321,017","1,335,101","1,374,999","1,413,686","1,452,649","1,480,929","1,525,665","1,569,276","1,602,527","1,590,102","1,610,492","1,624,905","1,613,144","1,588,407","1,606,387","1,613,317","1,589,704","1,570,060","1,563,283","1,541,086","1,533,088","1,524,967","1,512,680","1,500,784","1,487,382","1,478,829","1,494,880","1,506,602","1,518,437","1,506,452","1,532,489","1,565,456","1,600,638","1,629,178","1,657,218","1,683,388","1,690,071","1,699,705","1,723,773","1,752,768","1,776,203","1,783,011","1,824,007","1,858,318","1,876,866","1,910,928","1,918,041","1,934,768","1,989,580","1,993,253","2,029,963","2,107,613","2,180,897","2,241,687","2,328,549","2,382,728","2,396,183","2,443,168","2,488,635","2,505,820","2,560,127","2,557,801","2,627,905","2,744,394","2,849,641","2,925,734","3,038,868","3,124,672","3,143,892","3,275,107","3,429,363","3,554,716","3,681,209","3,787,346","3,932,149","4,063,592","4,140,100","4,255,391","4,392,073","4,464,355","4,507,645","4,536,871","4,619,700","4,701,362","4,781,778","4,805,783","4,795,336","4,732,634","4,689,812","4,700,508","4,651,116","4,526,726","4,461,723","4,401,903","4,338,067","4,303,018","4,266,590","4,159,174","4,125,232","4,119,185","4,133,994","4,086,921","4,086,194","4,086,685","4,091,848","4,059,563","4,048,249","4,053,428","4,065,628","4,075,665","4,123,125","4,135,969","4,170,715","4,203,940","4,261,275","4,307,093","4,375,464","4,419,600","4,505,585","4,567,642","4,603,262","4,626,875","4,691,735","4,730,496","4,773,661","4,795,051","4,831,691","4,862,795","4,886,664","4,902,019","4,964,072","5,002,907","5,048,599","5,084,047","5,110,704","5,144,713","5,117,941","5,079,259","5,108,699","5,182,594","5,259,875","5,327,175","5,498,939","5,651,357","5,766,303","5,802,038","5,847,206","5,886,646","5,927,821","5,944,736","5,976,949"
    1-4 Family residential mortgages, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"234,386","236,555","740,469","766,548","783,877","861,437","871,547","876,365","871,654","851,032","866,592","872,446","859,874","851,894","853,701","842,605","844,614","847,374","840,743","840,710","839,677","835,685","856,239","866,822","881,198","869,812","889,441","914,700","943,657","964,589","983,662","1,003,943","1,005,789","1,013,650","1,023,070","1,041,283","1,054,337","1,060,667","1,084,038","1,100,402","1,110,141","1,136,064","1,134,776","1,135,751","1,170,150","1,155,202","1,173,781","1,216,485","1,250,540","1,274,932","1,325,691","1,350,488","1,340,011","1,357,973","1,376,406","1,354,820","1,379,102","1,343,693","1,365,009","1,445,344","1,513,072","1,545,817","1,613,463","1,653,923","1,611,231","1,673,442","1,743,664","1,782,251","1,833,832","1,885,183","1,950,716","2,017,669","2,041,887","2,101,667","2,155,747","2,175,297","2,175,661","2,185,504","2,207,434","2,238,180","2,241,451","2,215,826","2,154,781","2,090,083","2,033,885","2,046,024","2,012,810","1,928,434","1,915,811","1,887,169","1,876,629","1,882,535","1,899,836","1,836,490","1,831,102","1,856,681","1,882,771","1,858,282","1,875,370","1,890,136","1,893,571","1,878,545","1,857,082","1,842,552","1,829,806","1,823,658","1,843,026","1,838,281","1,842,103","1,855,256","1,880,045","1,886,998","1,903,934","1,918,191","1,960,612","1,989,191","1,995,061","1,984,886","2,019,954","2,042,015","2,063,759","2,072,594","2,090,328","2,112,198","2,119,363","2,122,037","2,160,493","2,182,663","2,201,736","2,207,005","2,216,550","2,240,755","2,210,914","2,178,188","2,180,524","2,221,824","2,259,044","2,274,103","2,367,621","2,435,731","2,479,588","2,506,416","2,526,010","2,549,154","2,564,878","2,566,157","2,586,152"
    Nonfarm nonresidential,"168,660","177,911","187,877","197,455","177,239","182,992","195,789","203,109","213,147","220,904","226,989","241,616","252,385","262,702","269,726","279,660","287,072","294,168","300,048","307,729","310,815","318,089","320,610","321,703","322,639","325,363","325,823","329,246","329,616","329,608","327,221","325,205","324,515","323,919","318,432","320,082","320,405","321,238","323,251","324,014","326,268","329,333","331,981","335,461","341,206","343,028","344,558","349,043","351,140","356,883","362,005","366,059","368,520","376,046","383,610","388,874","393,944","395,789","404,018","418,201","429,533","440,607","452,751","470,863","489,324","503,770","514,467","525,049","531,709","540,931","556,126","569,531","585,391","599,686","611,420","627,586","641,654","652,601","665,763","682,098","699,949","718,671","734,576","752,227","767,216","783,176","807,686","825,636","842,400","863,624","885,970","904,353","905,614","924,126","939,579","968,668","990,532","1,019,460","1,043,610","1,066,247","1,077,712","1,087,159","1,090,945","1,091,306","1,091,392","1,081,577","1,073,223","1,071,136","1,065,186","1,060,238","1,056,273","1,060,536","1,057,748","1,058,369","1,058,141","1,073,440","1,073,030","1,083,309","1,092,196","1,109,166","1,117,177","1,126,899","1,133,353","1,150,171","1,163,603","1,175,866","1,199,762","1,231,501","1,251,642","1,278,332","1,301,083","1,324,065","1,347,143","1,365,837","1,377,572","1,391,195","1,402,547","1,421,245","1,426,248","1,444,089","1,457,060","1,473,638","1,491,643","1,515,939","1,534,478","1,545,465","1,556,123","1,568,723","1,575,818","1,594,478","1,619,401","1,646,518","1,673,634","1,709,100","1,746,483","1,778,010","1,783,722","1,796,665","1,804,644","1,815,636","1,826,165","1,832,779"
    Construction and development,"82,512","89,458","95,575","101,281","136,587","145,797","149,329","153,769","189,986","195,657","198,690","203,128","203,246","204,838","208,681","209,841","210,483","213,317","217,264","216,995","210,930","207,494","210,863","202,164","195,607","190,826","184,388","170,795","160,514","151,805","140,753","129,398","120,281","114,285","108,997","98,079","92,544","88,535","87,607","85,441","82,830","82,535","84,677","84,530","85,421","86,975","89,228","90,420","91,871","95,848","99,888","102,017","96,717","101,542","105,694","108,003","111,095","116,532","125,084","130,115","136,414","144,226","155,324","164,723","173,176","181,842","191,100","196,983","210,164","221,412","228,269","231,465","232,277","235,967","243,650","244,905","250,531","257,041","263,631","272,236","285,804","299,888","319,542","337,567","360,138","389,992","418,272","449,697","486,846","517,516","545,003","565,299","582,288","600,467","616,532","629,494","631,802","626,504","612,823","589,534","564,974","533,989","491,168","450,752","418,043","383,958","354,140","321,102","295,229","274,290","254,596","239,924","228,208","217,280","209,843","203,178","201,572","202,633","206,183","210,101","214,804","222,591","230,474","238,388","246,247","256,083","266,413","275,363","284,829","294,177","303,175","312,951","319,188","324,140","330,848","338,302","344,122","347,252","351,299","350,262","353,985","357,313","360,045","361,893","370,031","380,893","386,363","385,920","388,244","393,366","402,131","401,544","412,760","428,947","446,588","466,915","478,732","486,230","495,061","500,351","498,484","495,772"
    Home equity lines, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"28,836","31,625","45,199","49,073","51,641","60,592","65,479","69,852","72,473","74,676","78,976","84,202","85,822","87,045","89,028","91,830","93,219","92,761","93,397","94,360","93,566","93,355","93,515","92,415","90,463","89,183","90,820","92,079","93,209","93,511","96,797","97,645","97,917","95,739","98,825","100,408","103,572","105,104","109,518","113,562","115,619","114,011","114,428","114,237","113,433","112,415","109,292","115,404","121,333","127,686","136,530","144,754","150,756","154,468","160,995","173,855","184,356","199,665","223,712","240,178","256,451","276,150","295,361","314,876","346,080","376,492","415,791","459,830","490,676","507,955","533,854","538,177","534,257","530,734","556,196","554,891","559,307","556,795","576,717","591,372","611,407","624,920","646,923","649,156","665,559","674,278","672,942","667,541","661,568","659,717","654,123","647,921","636,656","623,748","615,275","608,276","604,105","591,074","579,963","566,765","554,109","538,132","527,733","516,722","509,509","502,146","499,174","496,116","492,324","483,906","477,908","471,539","465,296","457,506","452,283","444,313","434,129","429,989","424,044","417,297","411,151","398,436","389,049","381,638","375,640","365,382","358,471","349,858","342,067","338,273","324,468","312,892","300,311","286,050","277,880","270,295","265,103","261,284","266,755","270,577","273,023","269,828","269,144","269,312","271,590","270,290","273,943"
    Multifamily residential real estate,"76,143","80,906","83,869","86,998","88,925","93,191","96,772","100,782","87,046","88,832","91,302","95,225","98,335","101,129","104,839","106,941","108,297","108,938","109,292","112,133","107,390","108,104","107,683","105,639","103,957","102,005","101,908","100,067","97,225","96,319","94,745","96,160","96,763","96,930","95,204","94,648","93,934","92,471","93,551","93,975","93,774","94,283","94,290","94,601","94,712","96,043","96,778","95,710","95,546","96,338","97,307","97,680","97,661","97,940","98,394","98,843","99,175","98,816","96,812","97,731","99,696","100,123","104,556","108,729","111,206","114,628","116,209","116,980","119,086","118,733","122,467","123,180","125,488","129,833","131,878","134,999","137,942","143,403","147,429","151,670","156,602","160,662","164,698","168,966","173,014","180,560","185,660","188,138","192,165","192,427","193,147","193,058","191,964","190,017","193,622","202,817","208,321","211,599","205,630","206,475","210,604","213,527","216,511","212,718","215,356","212,764","213,772","212,701","212,192","215,839","216,852","218,500","220,927","224,523","227,801","233,305","235,947","243,274","252,772","263,019","271,877","281,928","288,936","297,415","305,290","315,163","329,032","344,066","352,112","365,241","374,296","382,872","390,336","398,465","400,203","403,893","411,017","418,927","425,961","430,501","435,935","444,853","451,965","458,612","468,737","474,044","478,504","479,372","480,616","490,617","496,187","512,648","529,173","557,616","584,191","598,742","593,470","600,384","605,948","611,212","620,308","624,996"
    Farmland,"9,686","10,026","10,209","10,203","10,328","10,634","11,063","11,383","11,813","12,249","12,459","12,709","13,198","13,830","14,147","14,433","14,682","15,202","15,416","15,517","15,920","16,385","16,567","16,722","16,840","17,198","17,372","17,314","17,586","18,118","18,403","18,527","19,054","19,667","20,023","19,987","20,104","20,717","20,984","20,994","21,381","22,072","22,561","22,725","23,105","23,726","23,980","23,992","24,111","24,751","25,013","25,087","25,456","26,280","27,039","27,228","27,734","28,608","28,989","29,315","29,807","30,829","31,619","32,150","32,997","34,048","34,245","34,370","34,660","35,452","35,705","35,798","36,291","37,288","38,109","38,348","39,041","40,001","40,568","41,019","41,800","43,297","44,255","44,875","45,371","46,561","47,507","48,006","49,009","50,403","51,683","52,668","53,865","55,446","56,538","57,410","58,628","61,062","62,323","63,700","64,578","65,554","66,542","66,585","66,549","67,445","67,641","67,978","67,315","67,957","68,266","68,623","69,489","70,667","71,563","74,098","73,563","75,236","76,663","78,090","78,664","80,696","82,325","83,622","84,538","87,054","88,395","90,356","91,512","93,418","94,758","95,791","96,668","98,475","100,063","101,013","101,300","102,946","104,132","104,905","105,257","106,645","104,793","104,548","104,303","104,044","103,323","102,837","101,603","102,428","103,879","106,150","106,579","109,216","111,550","113,745","113,673","114,710","115,773","116,673","116,669","117,505"
